Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,label
1,60,65.0,8450,7,5,2003,2003,196.0,706.0,0.0,150.0,856.0,856,854,0,1710,1.0,0.0,2,1,3,1,8,0,2003.0,2.0,548.0,0,61,0,0,0,0,0,2,2008,12.247694320220994
2,20,80.0,9600,6,8,1976,1976,0.0,978.0,0.0,284.0,1262.0,1262,0,0,1262,0.0,1.0,2,0,3,1,6,1,1976.0,2.0,460.0,298,0,0,0,0,0,0,5,2007,12.109010932687042
3,60,68.0,11250,7,5,2001,2002,162.0,486.0,0.0,434.0,920.0,920,866,0,1786,1.0,0.0,2,1,3,1,6,1,2001.0,2.0,608.0,0,42,0,0,0,0,0,9,2008,12.31716669303576
4,70,60.0,9550,7,5,1915,1970,0.0,216.0,0.0,540.0,756.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,1,1998.0,3.0,642.0,0,35,272,0,0,0,0,2,2006,11.84939770159144
5,60,84.0,14260,8,5,2000,2000,350.0,655.0,0.0,490.0,1145.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,9,1,2000.0,3.0,836.0,192,84,0,0,0,0,0,12,2008,12.429216196844383
6,50,85.0,14115,5,5,1993,1995,0.0,732.0,0.0,64.0,796.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,0,1993.0,2.0,480.0,40,30,0,320,0,0,700,10,2009,11.870599909242044
7,20,75.0,10084,8,5,2004,2005,186.0,1369.0,0.0,317.0,1686.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,1,2004.0,2.0,636.0,255,57,0,0,0,0,0,8,2007,12.634603026569334
8,60,70.04995836802665,10382,7,6,1973,1973,240.0,859.0,32.0,216.0,1107.0,1107,983,0,2090,1.0,0.0,2,1,3,1,7,2,1973.0,2.0,484.0,235,204,228,0,0,0,350,11,2009,12.206072645530174
9,50,51.0,6120,7,5,1931,1950,0.0,0.0,0.0,952.0,952.0,1022,752,0,1774,0.0,0.0,2,0,2,2,8,2,1931.0,2.0,468.0,90,0,205,0,0,0,0,4,2008,11.77452020265869
10,190,50.0,7420,5,6,1939,1950,0.0,851.0,0.0,140.0,991.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,2,1939.0,1.0,205.0,0,4,0,0,0,0,0,1,2008,11.678439903447801
11,20,70.0,11200,5,5,1965,1965,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,0,1965.0,1.0,384.0,0,0,0,0,0,0,0,2,2008,11.771436160121729
12,60,85.0,11924,9,5,2005,2006,286.0,998.0,0.0,177.0,1175.0,1182,1142,0,2324,1.0,0.0,3,0,4,1,11,2,2005.0,3.0,736.0,147,21,0,0,0,0,0,7,2006,12.751299696013497
13,20,70.04995836802665,12968,5,6,1962,1962,0.0,737.0,0.0,175.0,912.0,912,0,0,912,1.0,0.0,1,0,2,1,4,0,1962.0,1.0,352.0,140,0,0,0,176,0,0,9,2008,11.877568578558138
14,20,91.0,10652,7,5,2006,2007,306.0,0.0,0.0,1494.0,1494.0,1494,0,0,1494,0.0,0.0,2,0,3,1,7,1,2006.0,3.0,840.0,160,33,0,0,0,0,0,8,2007,12.540757571577291
15,20,70.04995836802665,10920,6,5,1960,1960,212.0,733.0,0.0,520.0,1253.0,1253,0,0,1253,1.0,0.0,1,1,2,1,5,1,1960.0,1.0,352.0,0,213,176,0,0,0,0,5,2008,11.964001084330445
16,45,51.0,6120,7,8,1929,2001,0.0,0.0,0.0,832.0,832.0,854,0,0,854,0.0,0.0,1,0,2,1,5,0,1991.0,2.0,576.0,48,112,0,0,0,0,0,7,2007,11.790557201568507
17,20,70.04995836802665,11241,6,7,1970,1970,180.0,578.0,0.0,426.0,1004.0,1004,0,0,1004,1.0,0.0,1,0,2,1,5,1,1970.0,2.0,480.0,0,0,0,0,0,0,700,3,2010,11.911701584927597
18,90,72.0,10791,4,5,1967,1967,0.0,0.0,0.0,0.0,0.0,1296,0,0,1296,0.0,0.0,2,0,2,2,6,0,1967.0,2.0,516.0,0,0,0,0,0,0,500,10,2006,11.407564949312402
19,20,66.0,13695,5,5,2004,2004,0.0,646.0,0.0,468.0,1114.0,1114,0,0,1114,1.0,0.0,1,1,3,1,6,0,2004.0,2.0,576.0,0,102,0,0,0,0,0,6,2008,11.976659481202368
20,20,70.0,7560,5,6,1958,1965,0.0,504.0,0.0,525.0,1029.0,1339,0,0,1339,0.0,0.0,1,0,3,1,6,0,1958.0,1.0,294.0,0,0,0,0,0,0,0,5,2009,11.842229212112828
21,60,101.0,14215,8,5,2005,2006,380.0,0.0,0.0,1158.0,1158.0,1158,1218,0,2376,0.0,0.0,3,1,4,1,9,1,2005.0,3.0,853.0,240,154,0,0,0,0,0,11,2006,12.692503112461443
22,45,57.0,7449,7,7,1930,1950,0.0,0.0,0.0,637.0,637.0,1108,0,0,1108,0.0,0.0,1,0,3,1,6,1,1930.0,1.0,280.0,0,0,205,0,0,0,0,6,2007,11.845102777308561
